Is gateway,Status,Last active,Name,MAC,Serial,Tags,Model,Product description,Latitude,Longitude,Internet address,LAN IP,Usage,Client count,Download speed,Gateway node,Gateway route length,Ping latency,Last active timestamp,Clients probing,Current client count
true,OK,now,LVB Goerdelerring - Bb1,00:18:0a:23:91:e2,Q2CK-FBE2-EF8K, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3441304400888,12.3722961719614,146.0.126.160,192.168.2.3,15970433024,817,"",00:18:0a:23:91:e2,"","",Fri Feb 10 10:22:34 CET 2017,,7
true,OK,now,LVB Augustusplatz Pergola 8,e0:55:3d:10:0c:ea,Q2EK-FQJL-YN2X, LEIPZIGER LVB ,MR84,Meraki MR84 Cloud Managed AP,51.3383058286471,12.3801094203009,146.0.126.160,192.168.17.4,1725681664,222,"",e0:55:3d:10:0c:ea,"","",Fri Feb 10 10:22:49 CET 2017,,4
true,OK,now,LVB Bornaische Str - 2 Etage,88:15:44:ba:94:60,Q2JD-JDTJ-58PL, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3345990643209,12.3719645969686,85.239.122.61,192.168.100.14,47987712,6,"",88:15:44:ba:94:60,"","",Fri Feb 10 10:22:38 CET 2017,,0
true,OK,now,LVB Goerdelerring - Bb2,00:18:0a:23:9d:8c,Q2CK-KZCL-3BTD, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3441270892512,12.3721191461664,146.0.126.160,192.168.2.50,3649742848,440,"",00:18:0a:23:9d:8c,"","",Fri Feb 10 10:22:41 CET 2017,,1
true,OK,now,Altes Rathaus - Markt Nord,00:18:0a:5d:b4:e0,Q2DK-57JT-9KNN, LEIPZIGER ,MR72,Meraki MR72 Cloud Managed AP,51.3407622220473,12.3752063690699,146.0.126.160,192.168.7.2,322982912,41,"",00:18:0a:5d:b4:e0,"","",Fri Feb 10 10:22:26 CET 2017,,1
true,OK,now,LVB Augustusplatz Mast 3,88:15:44:cc:5f:94,Q2CK-ZUYH-8765, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3390569746492,12.3816901534337,146.0.126.160,192.168.3.177,6479127552,404,"",88:15:44:cc:5f:94,"","",Fri Feb 10 10:22:22 CET 2017,,6
true,OK,now,LVB HBF - West2,00:18:0a:23:95:2a,Q2CK-GQ4J-JHUJ, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3440552796437,12.379756285809,146.0.126.160,192.168.10.4,16445362176,915,"",00:18:0a:23:95:2a,"","",Fri Feb 10 10:22:16 CET 2017,,10
true,OK,now,LVB Neues Rathaus 1,88:15:44:55:0e:38,Q2CK-6E6S-2X4U, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3358207828665,12.3709228812731,146.0.126.160,192.168.9.1,550988800,227,"",88:15:44:55:0e:38,"","",Fri Feb 10 10:22:36 CET 2017,,1
true,OK,now,LVB Augustusplatz Pergola 2,e0:55:3d:10:07:90,Q2EK-7HJ8-HY7H, LEIPZIGER LVB ,MR84,Meraki MR84 Cloud Managed AP,51.3397451568957,12.3805654226817,146.0.126.160,192.168.18.4,645821440,326,"",e0:55:3d:10:07:90,"","",Fri Feb 10 10:22:15 CET 2017,,3
true,OK,now,LVB Jahnallee Sportforum 1-1,00:18:0a:5c:cd:90,Q2DK-RGHG-HFCH, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.340661052686,12.3516583442688,146.0.126.160,192.168.16.1,1657134080,153,"",00:18:0a:5c:cd:90,"","",Fri Feb 10 10:21:12 CET 2017,,1
